azurecommunicationcommon,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.Common,2.0.0-alpha.20231025.1
azurecommunicationemail,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.Email,1.1.0-alpha.20231025.1
azurecommunicationidentity,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.Identity,1.3.0-alpha.20231025.1
azurecommunicationjobrouter,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.JobRouter,1.0.0-alpha.20231025.1
azurecommunicationmediacomposition,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.MediaComposition,1.0.0-alpha.20231025.1
azurecommunicationmessages,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.Messages,1.0.0-alpha.20231025.1
azurecommunicationnetworktraversal,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.Communication.NetworkTraversal,1.1.0-alpha.20231025.1
azurecommunicationphonenumbers,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.Communication.PhoneNumbers,1.2.0-alpha.20231025.1
azurecommunicationrooms,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.Rooms,1.1.0-alpha.20231025.1
azurecommunicationshortcodes,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.ShortCodes,1.0.0-alpha.20231025.1
azurecommunicationsms,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.Sms,1.0.2-alpha.20231025.1
azurecontainerscontainerregistry,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.Containers.ContainerRegistry,1.2.0-alpha.20231025.1
azurecore,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Core,1.36.0-alpha.20231025.1
